Line;Chinese;Pinyin;Translation;NumberOfWords
1290;那个好心的大教主负责我们这个教区;nei4 ge4 hao3 xin1 de da4 jiao4 zhu3 fu4 ze2 wo3 men zhe4 ge4 jiao4 qu1 ;That kind archbishop is responsible for our church district.;16
1291;该报告建议安全标准应该改进;gai1 bao4 gao4 jian4 yi4 an1 quan2 biao1 zhun3 ying1 gai1 gai3 jin4 ;The report advances the suggestion that safety standards should be improved.;13
1292;为了收集数据我们发给他们一些调查表;wei4 le shou1 ji2 shu4 ju4 wo3 men fa4 ji3 ta1 men yi1 xie1 diao4 cha2 biao3 ;We gave them some questionnaires for collecting data.;17
1293;乘客只可以在公共汽车的上层吸烟;cheng2 ke4 zhi3 ke3 yi3 zai4 gong1 gong4 qi4 che1 de shang4 ceng2 xi1 yan1 ;Passengers may smoke only on the upper deck of the bus.;15
1294;他在物理学方面已经取得了巨大成就;ta1 zai4 wu4 li3 xue2 fang1 mian4 yi3 jing1 qu3 de2 le ju4 da4 cheng2 jiu4 ;He has got brilliant achievements in the field of physics.;16
1295;那首领拿一些玻璃块替换了那些钻石;na4 shou3 ling3 na2 yi1 xie1 bo1 li kuai4 ti4 huan4 le na4 xie1 zuan4 shi2 ;The chief interchanged the diamond with some pieces of glass.;16
1296;我舒适地靠在大沙发上,开始看小说;wo3 shu1 shi4 de kao4 zai4 da4 sha1 fa1 shang4 kai1 shi3 kan4 xiao3 shuo1 ;I nestled down on the big sofa and began to read novels.;16
1297;她用一张面巾纸擦掉脸上的汗水;ta1 yong4 yi1 zhang1 mian4 jin1 zhi3 ca1 diao4 lian3 shang4 de han4 shui3 ;She wiped off the sweat from her face with a piece of facial tissue.;14
1298;拥有汽车的人数一直在逐渐上升;yong1 you3 qi4 che1 de ren2 shu4 yi1 zhi2 zai4 zhu2 jian4 shang4 sheng1 ;There has been a gradual increase in the number of people owning cars.;14
1299;在资信方面, 这家商行还是很可靠的;zai4 zi1 xin4 fang1 mian4 zhe4 jia1 shang1 xing4 hai2 shi4 hen3 ke3 kao4 de ;In respect of financial standing, this firm is reliable.;17
1300;他对他的选民表现出很有感染力的热情;ta1 dui4 ta1 de xuan3 min2 biao3 xian4 chu1 hen3 you3 gan3 ran3 li4 de re4 qing2 ;He expressed infectious enthusiasm to his voters.;17
1301;我开始做这项工作时, 遇到许多困难;wo3 kai1 shi3 zuo4 zhe4 xiang4 gong1 zuo4 shi2 yu4 dao4 xu3 duo1 kun4 nan! ;I encountered many difficulties when I first started this job.;17
1302;这幅画被他看中了,所以他就把他买了下来;zhe4 fu2 hua4 bei4 ta1 kan4 zhong4 le suo3 yi3 ta1 jiu4 ba3 ta1 mai3 le xia lai ;The painting took his fancy, so he bought it.;19
1303;对全体学生的功课作出连贯性的评定;dui4 quan2 ti3 xue2 sheng de gong1 ke4 zuo4 chu1 lian2 guan4 xing4 de ping2 ding4 ;Continuous assessment is made of all students' work.;16
1304;她午饭吃得很少,期待晚饭时饱餐一顿;ta1 wu3 fan4 ji2 de hen3 shao4 qi1 dai4 wan3 fan4 shi2 bao3 can1 yi1 dun4 ;She ate a light lunch in expectation of a good dinner.;17
1305;他向我走来,微笑著伸出手来和我握手;ta1 xiang4 wo3 zou3 lai2 wei1 xiao著4 shen1 chu1 shou3 lai2 huo4 wo3 wo4 shou3 ;He came towards me, smiled and offered his hand.;17
1306;这个地区大多数国家的经济都不稳定;zhe4 ge4 di4 qu1 da4 duo1 shu4 guo2 jia1 de jing1 ji4 dou1 bu4 wen3 ding4 ;Most of the countries in the region have unstable economies.;16
1307;我养了一只猫和一只狗,但它们老是打架;wo3 yang3 le yi1 zhi3 mao1 huo4 yi1 zhi3 gou3 dan4 ta1 men lao3 shi da3 jia4 ;I have a dog and a cat, but they fight all the time.;18
1308;只要我们紧密团结就能克服困难;zhi3 yao4 wo3 men jin3 mi4 tuan2 jie2 jiu4 neng2 ke4 fu2 kun4 nan ;We can surely overcome these difficulties as long as we are closely united.;14
1309;因为现在是收获期,所以我们都非常忙;yin1 wei4 xian4 zai4 shi4 shou1 huo4 qi1 suo3 yi3 wo3 men dou1 fei1 chang2 mang2 ;We are all very busy because it's the harvest time.;17
1310;一如既往,我们将继续每星期四开会;yi1 ru2 ji4 wang4 wo3 men jiang4 ji4 xu4 mei3 xing1 qi1 si4 kai1 hui4 ;We will continue to hold meetings on Thursdays, as heretofore.;16
1311;只有时间才能使人淡忘那些不快的记忆;zhi3 you3 shi2 jian1 cai2 neng2 shi3 ren2 dan4 wang4 na4 xie1 bu4 kuai4 de ji4 yi4 ;Time alone will efface those unpleasant memories.;17
1312;有一条良好的A级公路通往北方--A级1号公路;you3 yi1 tiao2 liang2 hao3 deA ji2 gong1 lu4 tong1 wang4 bei3 fang--A1 ji21 hao4 gong1 lu4! ;There's a good A-road going North -- the A1.;22
1313;法庭上原告和被告双方都有各自的律师;fa3 ting2 shang4 yuan2 gao4 huo4 bei4 gao4 shuang1 fang1 dou1 you3 ge4 zi de lu:4 shi1 ;Each side of a case in court has its own counsel.;17
1314;别那样对我大声嚷嚷,我能听清楚;bie4 na4 yang4 dui4 wo3 da4 sheng1 rang3 rang3 wo3 neng2 ting4 qing1 chu ;Don't shout into my ears like that, I can hear you perfectly well.;15
1315;从这个角度来看, 画中的女子面带微笑;zong4 zhe4 ge4 jiao3 du4 lai2 kan4 hua4 zhong4 di4 nu:3 zi3 mian4 dai4 wei1 xiao4! ;Seen from this angle the woman in the picture is smiling.;18
1316;老师要求学生们复述他们刚读的故事;lao3 shi1 yao1 qiu2 xue2 sheng men fu4 shu4 ta1 men gang1 du2 de gu4 shi4 ;The teacher asked the students to retell the story they just read.;16
1317;那家大工厂倒闭,使许多工人失业;na4 jia1 da4 gong1 chang3 dao3 bi4 shi3 xu3 duo1 gong1 ren2 shi1 ye4 ;The closure of the large factory made many workers live in idleness.;15
1318;你决不会知道你的鼓励对我多么有意义;ni3 jue2 bu4 kuai4 zhi1 dao4 ni3 de gu3 li4 dui4 wo3 duo1 me you3 yi4 yi4 ;You will never know how much your encouragement meant to me.;17
1319;这次经验有助于帮助她改变社会意识;zhe4 ci4 jing1 yan4 you3 zhu4 yu2 bang1 zhu4 ta1 gai3 bian4 she4 hui4 yi4 shi2 ;This experience helped to change her social consciousness.;16
1320;电影导演测试了一下那位新演员的演技;dian4 ying3 dao3 yan3 ce4 shi4 le yi1 xia4 na4 wei4 xin1 yan3 yuan2 de yan3 ji4 ;The film director put the new actor through his paces.;17
1321;他做的事完全合法, 警方不能碰他;ta1 zuo4 de shi4 wan2 quan2 he2 fa3 jing3 fang1 bu4 neng2 peng4 ta1! ;What he did was perfectly legal the police can't touch (i.e. arrest) him for it.;16
1322;这位冠军为了下一场比赛正在进行训练;zhe4 wei4 guan4 jun1 wei4 le xia4 yi1 chang3 bi3 sai4 zheng4 zai4 jin4 xing2 xun4 lian4 ;The champion is in training for his next fight.;17
1323;我们用电脑查找所有用连字符连接的词;wo3 men yong4 dian4 nao3 cha2 zhao3 suo3 you3 yong4 lian2 zi4 fu2 lian2 jie1 de ci2 ;We did a computer search for all the hyphenated words.;17
1324;我认为这些有趣的旧习俗应该保存下去;wo3 ren4 wei2 zhe4 xie you3 qu4 de jiu4 xi2 su2 ying1 gai1 bao3 cun2 xia4 qu ;I think these interesting old customs should be preserved.;17
1325;他们的观点同我们看问题的方法格格不入;ta1 men de guan1 dian3 tong2 wo3 men kan4 wen4 ti2 de fang1 fa3 ge2 ge2 bu4 ru4 ;Their ideas are quite alien to our ways of thinking.;18
1326;我们用他给我们带来的面粉做了一些面包;wo3 men yong4 ta1 ji3 wo3 men dai4 lai2 de mian4 fen3 zuo4 le yi1 xie1 mian4 bao1 ;We made some bread with the flour he bought for us.;18
1327;骑士们在小酒店里会合,讨论他们的计划;qi2 shi4 men zai4 xiao3 jiu3 dian4 li3 hui4 he2 tao3 lun4 ta1 men de ji4 hua4 ;The knights met in the tavern to discuss their plan.;18
1328;我们大家都得参加跑步训练, 无人例外;wo3 men da4 jia1 dou1 de can1 jia1 pao3 bu4 xun4 lian4 wu2 ren2 li4 wai4! ;We all had to take part in the training run, with nobody excepted.;18
1329;首次飞跃大西洋是一项了不起的业绩;shou3 ci4 fei1 yue4 da4 xi1 yang2 shi4 yi2 xiang4 le bu4 qi3 de ye4 ji1 ;Flying across the Atlantic for the first time was a great achievement.;16
1330;我因有约在先,所以未能参加这个会;wo3 yin1 you3 yue1 zai4 xian1 suo3 yi3 wei4 neng2 can1 jia1 zhe4 ge4 kuai4 ;I was unable to attend the meeting because of a prior engagement.;16
1331;他在面对危险的时候表现出非凡的勇气;ta1 zai4 mian4 dui4 wei1 xian3 de shi2 hou biao3 xian4 chu1 fei1 fan2 de yong3 qi4 ;He showed remarkable courage when he faced the danger.;17
1332;我得把电话号码记下来,以免待会儿忘记;wo3 de ba3 dian4 hua4 hao4 ma3 ji4 xia lai yi3 mian3 dai4 kuai4 er wang4 ji4 ;I'll just jot down their phone number before I forget it.;18
1333;我喜欢滑雪, 同时也知道这非常危险;wo3 xi3 huan hua2 xue3 tong2 shi2 ye3 zhi1 dao4 zhe4 fei1 chang2 wei1 xian3 ;I like skiing and in the meantime, I know it is very dangerous.;17
1334;我们应该多吃一些富含纤维素的绿色蔬菜;wo3 men ying1 gai1 duo1 ji2 yi1 xie1 fu4 han2 xian1 wei2 su4 de lu:4 se4 shu1 cai4 ;We should eat more green vegetables rich in cellulose.;18
1335;请假离开办公室之后我赶紧去了医院;qing3 jia4 li2 kai1 ban4 gong1 shi4 zhi1 hou4 wo3 gan3 jin3 qu4 le yi1 yuan4 ;After asking off my office, I went to the hospital immediately.;16
1336;他体重减了很多, 比以前轻了三公斤;ta1 ti3 zhong4 jian3 le hen3 duo1 bi4 yi3 qian2 qing1 le san1 gong1 jin1! ;He's lost a lot of weight: he's three kilos lighter than he used to be.;17
1337;自从他去年夏天离去, 我们就失去了联系;zi4 cong2 ta1 qu4 nian2 xia4 tian1 li2 qu4 wo3 men jiu4 shi1 qu4 le lian2 xi4 ;We have lost contact with him since he left last summer.;19
1338;检查者对所有受害者的朋友进行了调查;jian3 cha2 zhe3 dui4 suo3 you3 shou4 hai4 zhe3 de peng2 you jin4 xing2 le diao4 cha2 ;The checker made a check on all the victims' friends.;17
1339;我们可以以2比零或2比1赢得这三局两胜的比赛;wo3 men ke3 yi3 yi32 bi4 ling2 huo42 bi41 ying2 de2 zhe4 san1 ju2 liang3 sheng4 de bi3 sai4! ;We can win the rubber 2 games to nil or 2-1.;22
1340;在这张粉红色纸条上写下你的姓名和地址;zai4 zhe4 zhang1 fen3 hong2 se4 zhi3 tiao2 shang4 xie3 xia4 ni3 de xing4 ming2 huo4 di4 zhi3 ;Write your name and address on this pink slip.;18
1341;他用自来水龙头流出的凉水把手洗干净;ta1 yong4 zi4 lai2 shui3 long2 tou2 liu2 chu1 de liang2 shui3 ba3 shou3 xi3 gan1 jing4 ;He cleaned his hands in the cold water from the tap.;17
1342;他用尽一切影响力使他们接受他的计划;ta1 yong4 jin4 yi1 qie4 ying3 xiang3 li4 shi3 ta1 men jie1 shou4 ta1 de ji4 hua4 ;He exerted all his influence to make them accept his plan.;17
1343;生命可以被比作一次不知目的地的旅行;sheng1 ming4 ke3 yi3 bei4 bi4 zuo4 yi1 ci4 bu4 zhi1 mu4 di4 di4 de lu:3 xing2 ;Life can be likened to a journey with an unknown destination.;17
1344;他们对即将到来的选举作了充分的准备;ta1 men dui4 ji2 jiang1 dao4 lai2 de xuan3 ju3 zuo4 le chong1 fen4 de zhun3 bei4 ;They have made good preparation for the upcoming elections.;17
1345;他们爱举行戏称之为文学晚会的活动;ta1 men ai4 ju3 xing2 xi4 cheng4 zhi1 wei4 wen2 xue2 wan3 hui4 de huo2 dong4! ;They're fond of holding what are laughingly known as literary soirees.;16
1346;你有这样一位通情达理的父亲,真是幸运;ni3 you3 zhe4 yang4 yi1 wei4 tong1 qing2 da2 li3 de fu4 qin1 zhen1 shi4 xing4 yun4 ;You are fortunate to have such a reasonable father.;18
1347;老师从一开始就强调翻译准确性;lao3 shi1 zong4 yi1 kai1 shi3 jiu4 qiang2 diao4 fan1 yi4 zhun3 que4 xing4 ;The teacher laid emphasis on the precision of the translation from the outset.;14
1348;原始社会的结构并不一定就是简单的;yuan2 shi3 she4 hui4 de jie2 gou4 bing4 bu4 yi1 ding4 jiu4 shi4 jian3 dan1 de ;The constitution of a primitive society is not necessarily simple.;16
1349;当她听到那则消息后,她变得越来越紧张;dang4 ta1 ting1 dao4 na4 ze2 xiao1 xi hou4 ta1 bian4 de yue4 lai2 yue4 jin3 zhang1 ;When she heard the news she was heightening tension.;18
1350;这些发展促使家用电脑的需求量增大;zhe4 xie fa1 zhan3 cu4 shi3 jia1 yong4 dian4 nao3 de xu1 qiu2 liang4 zeng1 da4 ;These developments have created a great demand for home computers.;16
1351;这个饭店的服务质量已经有了很大改善;zhe4 ge4 fan4 dian4 de fu2 wu4 zhi4 liang4 yi3 jing1 you3 le hen3 da4 gai3 shan4 ;The quality of service in this restaurant has improved a lot.;17
1352;你与其要他减价还不如求助于一棵树;ni3 yu3 qi2 yao4 ta1 jian3 jia4 huan2 bu4 ru2 qiu2 zhu4 yu2 yi1 ke1 shu4 ;You might as well ask the tree for help as request him to reduce the price.;16
1353;厨房是我妻子的领地,她不愿让我进去;chu2 fang2 shi4 wo3 qi1 zi de ling3 de ta1 bu4 yuan4 rang4 wo3 jin4 qu4 ;The kitchen is my wife's domain, she doesn't like me going into it.;17
1354;教会应当就基本道德问题多做出些榜样;jiao4 hui4 ying1 dang1 jiu4 ji1 ben3 dao4 de2 wen4 ti2 duo1 zuo4 chu1 xie1 bang3 yang4! ;The Church should give more of a lead on basic moral issues.;17
1355;多丽,你的东西乱七八糟,收拾收拾房间;duo1 li4 ni3 de dong1 xi luan4 qi1 ba1 zao1 shou1 shi shou1 shi fang2 jian1 ;Dolly, all your things are in a muddle, tidy up your room.;18
1356;好的。请您告诉我贵姓及大名的头一个字母;hao3 de. qi3ng ni2n ga4o su wo3 gui4 xi4ng ji2 Da4 mi2ng de tou yi1 ge4 zi4 mu3?;Ok may I have your last name and first initial, please?;19
1357;我可以向你保证,你儿子在这里会很快乐的;wo3 ke3 yi3 xiang4 ni3 bao3 zheng4 ni3 er2 zi zai4 zhe4 li3 kuai4 hen3 kuai4 yue4 de ;I can assure you that your son will be happy here.;19
1358;他们的足球队在昨天的比赛中表现突出;ta1 men de zu2 qiu2 dui4 zai4 zuo2 tian1 de bi3 sai4 zhong4 biao3 xian4 tu1 chu1 ;Their football team performed very well in the match yesterday.;17
1359;火警警报响时全体人员应到楼外集合;huo3 jing3 jing3 bao4 xiang3 shi2 quan2 ti3 ren2 yuan2 ying4 dao4 lou2 wai4 ji2 he2! ;If the fire-alarm goes, staff should assemble outside the building.;16
1360;我躺下来与其说是要睡觉,倒不如说是要思考;wo3 tang3 xia lai yu3 qi2 shuo1 shi4 yao4 shui4 jiao4 dao4 bu4 ru2 shuo1 shi4 yao4 si1 kao3 ;I lay down not so much to sleep as to think.;20
1361;那位代表提出了一项对新闻法的修正案;na4 wei4 dai4 biao3 ti2 chu1 le yi2 xiang4 dui4 xin1 wen2 fa3 de xiu1 zheng4 an4 ;That representative brought forth an amendment to the press law.;17
1362;一个干部必须联系群众,同群众打成一片;yi1 ge4 gan4 bu4 bi4 xu1 lian2 xi4 qun2 zhong4 tong2 qun2 zhong4 da3 cheng2 yi1 pian4 ;A cadre must reach out to and be one with the masses.;18
1363;这个小男孩因为结巴不敢回答老师的问题;zhe4 ge4 xiao3 nan2 hai2 yin1 wei4 jie2 ba1 bu4 gan3 hui2 da2 lao3 shi1 de wen4 ti2 ;The boy dare not answer the questions because of his stammer.;18
1364;她自称精通计算机,其实她是假充内行;ta1 zi4 cheng1 jing1 tong1 ji4 suan4 ji1 qi2 shi2 ta1 shi4 jia4 chong1 nei4 hang2 ;She claims to know all about computers but really she's a sham.;17
1365;试验没有成功,尽管如此,还是值得做的;shi4 yan4 mei2 you3 cheng2 gong1 jin3 guan3 ru2 ci3 hai2 shi4 zhi2 de zuo4 de ;The experiment failed!###It was, nevertheless, worth making.;18
1366;有约在先,我恐怕不能与你共进晚餐;you3 yue1 zai4 xian1 wo3 kong3 pa4 bu4 neng2 yu4 ni3 gong4 jin4 wan3 can1 ;I fear that a prior engagement will prohibit me from joining you in dinner.;16
1367;她因这一成绩而获得第三个冠军称号;ta1 yin1 zhe4 yi1 cheng2 ji1 er2 huo4 de2 di4 san1 ge4 guan4 jun1 cheng1 hao4 ;With this performance, she has notched up her third championship title.;16
1368;新制度已对生产力造成了灾难性的影响;xin1 zhi4 du4 yi3 dui4 sheng1 chan3 li4 zao4 cheng2 le zai1 nan4 xing4 de ying3 xiang3 ;The new system has had a disastrous effect on productivity.;17
1369;她从火车窗口里伸出手挥动手帕道别;ta1 zong4 huo3 che1 chuang1 kou3 li3 shen1 chu1 shou3 hui1 dong4 shou3 pa4 dao4 bie4 ;She fluttered her handkerchief from the train window as a good-bye.;16
1370;我总觉得他讨厌我,但我不知道为什么;wo3 zong3 jue2 de ta1 tao3 yan4 wo3 dan4 wo3 bu4 zhi1 dao4 wei4 shen2 me ;I always feel he has a grudge against me, although I don't know why.;17
1371;这件事不久引起了一些领导同志的注意;zhe4 jian4 shi4 bu4 jiu3 yin3 qi3 le yi1 xie1 ling3 dao3 tong2 zhi4 de zhu4 yi4 ;The matter was soon brought to the notice of some leading comrades.;17
1372;这个工人因为严格遵守规则而受到了表扬;zhe4 ge4 gong1 ren2 yin1 wei4 yan2 ge2 zun1 shou3 gui1 ze2 er2 shou4 dao4 le biao3 yang2 ;The worker was praised for his observance of the rules.;18
1373;法语教师每隔一周给这班学生做一次听写;fa3 yu3 jiao4 shi1 mei3 ge2 yi1 zhou1 ji3 zhe4 ban1 xue2 sheng zuo4 yi1 ci4 ting1 xie3 ;The French teacher dictates to the class every other week.;18
1374;报纸上的这篇文章为他的演讲提供了启发;bao4 zhi3 shang4 de zhe4 pian1 wen2 zhang1 wei4 ta1 de yan3 jiang3 ti2 gong1 le qi3 fa1 ;The newspaper article provided him with fuel for his speech.;18
1375;这一运动的领导层对这个问题的看法一致;zhe4 yi1 yun4 dong4 de ling3 dao3 ceng2 dui4 zhe4 ge4 wen4 ti2 de kan4 fa3 yi1 zhi4 ;The leadership of the movement are in agreement on this issue.;18
1376;最小的儿童上一年级, 最大的上六年级;zui4 xiao3 de er2 tong2 shang4 yi1 nian2 ji2 zui4 da4 de shang4 liu4 nian2 ji2! ;The youngest children are in the first form, the oldest in the sixth form.;18
1377;这个国王没有宽容之心,杀死了所有的犯人;zhe4 ge4 guo2 wang2 mei2 you3 kuan1 rong2 zhi1 xin1 sha1 si3 le suo3 you3 de fan4 ren2 ;The king showed no mercy and killed all the prisoners.;19
1378;有几个年龄较大的男孩子在操场上对他动武;you3 ji3 ge nian2 ling2 jiao4 da4 de nan2 hai2 zi3 zai4 cao1 chang3 shang4 dui4 ta1 dong4 wu3! ;He was bashed up in the playground by some older boys.;19
1379;我喜欢他的写作风格,但是不喜欢他的内容;wo3 xi3 huan ta1 de xie3 zuo4 feng1 ge2 dan4 shi4 bu4 xi3 huan ta1 de nei4 rong2 ;I like the style of his writing but I don't like the content.;19
1380;解放后这个国家的农业得到了巨大的发展;jie3 fang4 hou4 zhe4 ge4 guo2 jia1 de nong2 ye4 de2 dao4 le ju4 da4 de fa1 zhan3 ;Agriculture in this country has developed greatly after liberation.;18
1381;让我看看买卖这块土地的所有官方文件;rang4 wo3 kan4 kan mai3 mai4 zhe4 kuai4 tu3 di4 de suo3 you3 guan1 fang1 wen2 jian4 ;Let me see all the official documents concerning the sale of this land.;17
1382;演完戏之后, 他们要求作者出来和大家见面;yan3 wan2 xi4 zhi1 hou4 ta1 men yao1 qiu2 zuo2 zhe3 chu1 lai huo4 da4 jia1 jian4 mian4 ;After the play they called for the author to show himself.;20
1383;从他领导后,一个又一个革新项目出现了;zong4 ta1 ling3 dao3 hou4 yi1 ge4 you4 yi1 ge4 ge2 xin1 xiang4 mu4 chu1 xian4 le ;After being led by him, one innovation after another are showing.;18
1384;这家公司的主要问题是缺少有技术的人员;zhe4 jia1 gong1 si1 de zhu3 yao4 wen4 ti2 shi4 que1 shao3 you3 ji4 shu4 de ren2 yuan2 ;The company's main problem is the shortage of skilled personnel.;18
1385;他们出示了一些统计数字来支持他们的论点;ta1 men chu1 shi4 le yi1 xie1 tong3 ji4 shu4 zi4 lai2 zhi1 chi2 ta1 men de lun4 dian3 ;They showed some statistical evidence to support their argument.;19
1386;无论在哪一方面他都不能被看作是个好丈夫;wu2 lun4 zai4 nei3 yi1 fang1 mian4 ta1 dou1 bu4 neng2 bei4 kan4 zuo4 shi4 ge4 hao4 zhang4 fu ;In no respect can he be looked upon as a good husband.;19
1387;他在那个伸出到街上的阳台上种了些花;ta1 zai4 nei4 ge4 shen1 chu1 dao4 jie1 shang4 de yang2 tai2 shang4 zhong4 le xie1 hua1 ;He planted some flowers on the balcony that projects over the street.;17
1388;我向他作了详细说明, 好让他能找到那房子;wo3 xiang4 ta1 zuo4 le xiang2 xi4 shuo1 ming2 hao4 rang4 ta1 neng2 zhao3 dao4 na4 fang2 zi! ;I gave him full directions to enable him to find the house.;20
1389;我上来取我的手提袋,我把它忘在我的办公室了;wo3 shang4 lai2 qu3 wo3 de shou3 ti2 dai4 wo3 ba3 ta1 wang4 zai4 wo3 de ban4 gong1 shi4 le ;I've come up for my bag, I left it in my office.;21
1390;船搁浅了--这河口的水比我们想像的要浅;chuan2 ge1 qian3 le-- zhe4 he2 kou3 de shui3 bi4 wo3 men xiang3 xiang4 de yao4 qian3! ;The ship has touched bottom the estuary must be shallower than we thought.;19
1391;那些难看的家具使得他的家看上去一团糟糕;na4 xie1 nan2 kan4 de jia1 ju4 shi3 de ta1 de jia1 kan4 shang4 qu4 yi1 tuan2 zao1 gao1 ;His house looks terrible with those pieces of ugly furniture.;19
1392;他的父母并不像他的老师对他那样有影响;ta1 de fu4 mu3 bing4 bu4 xiang4 ta1 de lao3 shi1 dui4 ta1 na4 yang4 you3 ying3 xiang3 ;It is not his parents that influence him so much as his teachers.;18
1393;重工业的稳固发展为这些进展打下了基础;zhong4 gong1 ye4 de wen3 gu4 fa1 zhan3 wei4 zhe4 xie jin4 zhan3 da3 xia4 le ji1 chu3! ;These developments are underpinned by solid progress in heavy industry.;18
1394;政府还没有找出对付失业的有效措施;zheng4 fu3 huan2 mei2 you3 zhao3 chu1 dui4 fu shi1 ye4 de you3 xiao4 cuo4 shi1 ;The government hasn't worked out the effectual measures to combat unemployment.;16
1395;春天的时候,踩在松软的地面上非常舒服;chun1 tian1 de shi2 hou cai3 zai4 song1 ruan3 de di4 mian4 shang4 fei1 chang2 shu1 fu ;It's very comfortable to step on the soft ground in the spring.;18
1396;你要是看到什么可疑的东西就马上通知警察;ni3 yao4 shi4 kan4 dao4 shen2 me ke3 yi2 de dong1 xi jiu4 ma3 shang4 tong1 zhi1 jing3 cha2 ;If you see anything suspicious, inform the police at once.;19
1397;我们再怎样强调学英文的重要性也不为过;wo3 men zai4 zen3 yang4 qiang2 diao4 xue2 Ying1 wen2 de zhong4 yao4 xing4 ye3 bu4 wei4 guo4 ;We cannot emphasize too much the importance of learning English.;18
1398;这间屋子里放了一堆奇形怪状的破烂家具;zhe4 jian4 wu1 zi li3 fang4 le yi1 dui1 qi2 xing2 guai4 zhuang4 de po4 lan4 jia1 ju4 ;There is an odd assemblage of broken bits of furniture in this room.;18
1399;他需要有高收入才能供养得起这样一个大家庭;ta1 xu1 yao4 you3 gao1 shou1 ru4 cai2 neng2 gong4 yang3 de qi3 zhe4 yang4 yi1 ge4 da4 jia1 ting2 ;He needs a high income to support such a large family.;20
1400;我用电话旁的一根铅笔记下了他的电话号码;wo3 yong4 dian4 hua4 pang2 de yi1 gen1 qian1 bi3 ji4 xia4 le ta1 de dian4 hua4 hao4 ma3 ;I noted down his telephone number with a pencil near the telephone.;19
1401;他们上了当, 以为我们还没有作好进攻准备;ta1 men shang4 le dang4 yi3 wei2 wo3 men huan2 mei2 you3 zuo4 hao4 jin4 gong1 zhun3 bei4! ;They were bluffed into believing we were not ready for the attack.;20
1402;充分利用自然资源的愿望终究会实现;chong1 fen4 li4 yong4 zi4 ran2 zi1 yuan2 de yuan4 wang4 zhong1 jiu1 kuai4 shi2 xian4 ;The wish of fully utilizing the natural resources will eventually come true.;16
1403;形容词的作用是描述或增加名词的意思;xing2 rong2 ci2 de zuo4 yong4 shi4 miao2 shu4 huo4 zeng1 jia1 ming2 ci2 de yi4 si ;The function of an adjective is to describe or add to the meaning of a noun.;17
1404;她的演说对于听众来说永远是灵感之源;ta1 de yan3 shuo1 dui4 yu2 ting1 zhong4 lai2 shuo1 yong3 yuan3 shi4 ling2 gan3 zhi1 yuan2 ;Her speeches have ever been a fount of inspiration to her audiences.;17
1405;起初我不同意他的提议,不过后来我改了主意;qi3 chu1 wo3 bu4 tong2 yi4 ta1 de ti2 yi4 bu4 guo4 hou4 lai2 wo3 gai3 le zhu3 yi ;Initially, I disagree with his proposal, but later I changed my mind.;20
1406;当我们听说他们平安无事时,都松了一口气;dang4 wo3 men ting1 shuo1 ta1 men ping2 an1 wu2 shi4 shi2 dou1 song1 le yi1 kou3 qi4 ;We all heaved a sigh of relief when we heard that they were safe.;19
1407;工党政治思想的要点是人人平等;gong1 dang3 zheng4 zhi4 si1 xiang3 de yao4 dian3 shi4 ren2 ren2 ping2 deng3 ;The cardinal idea of the Labor Party's political thought is that all people should be equal.;14
1408;这房间里有一种香气,使人想起春天的花朵;zhe4 fang2 jian1 li3 you3 yi1 zhong4 xiang1 qi4 shi3 ren2 xiang3 qi3 chun1 tian1 de hua1 duo3 ;There is an aroma suggestive of spring flowers in the room.;19
1409;通常, 是男士伸出手来邀请女士跳舞;tong1 chang2 shi4 nan2 shi4 shen1 chu1 shou3 lai2 yao1 qing3 nu:3 shi4 tiao4 wu3 ;As a rule, it's the gentleman that holds out his hand to invite a lady to dance.;17
1410;这两个姑娘相互谈了关于各自男友的悄悄话;zhe4 liang3 ge4 gu1 niang xiang1 hu4 tan2 le guan1 yu2 ge4 zi nan2 you3 de qiao3 qiao3 hua4 ;The two girls told each other confidences about their boyfriends.;19
1411;她并不聪明,但在其他方面,她倒是个好姑娘;ta1 bing4 bu4 cong1 ming2 dan4 zai4 qi2 ta1 fang1 mian4 ta1 dao4 shi4 ge4 hao4 gu1 niang ;She is not very clever, but otherwise she's a nice girl.;20
1412;他的时间排得很满,学生根本无法和他接触;ta1 de shi2 jian1 pai3 de hen3 man3 xue2 sheng gen1 ben3 wu2 fa3 huo4 ta1 jie1 chu4 ;His busy schedule made him completely inaccessible to his students.;19
1413;就英文而言,它并不像你所认为的那样难;jiu4 Ying1 wen2 er2 yan2 ta1 bing4 bu4 xiang4 ni3 suo3 ren4 wei2 de na4 yang4 nan4 ;So far as English is concerned, it is not so difficult as you might think.;18
1414;他搭乘便车往南去意大利,然后从那里进入法国;ta1 da1 cheng2 pian2 ju1 wang4 nan2 qu4 yi4 da4 li4 ran2 hou4 zong4 na4 li jin4 ru4 fa3 guo2 ;He hitched south towards Italy, and thence into France.;21
1415;在孩子们住院期间, 有个私人教师给他们上课;zai4 hai2 zi men zhu4 yuan4 qi1 jian1 you3 ge4 si1 ren2 jiao4 shi1 ji3 ta1 men shang4 ke4! ;There is a tutor to teach the children while they're in hospital.;21
1416;我妈妈鼓励我,而且坚持我应该继续我的教育;wo3 ma1 ma gu3 li4 wo3 er2 qie3 jian1 chi2 wo3 ying1 gai1 ji4 xu4 wo3 de jiao4 yu4 ;My mother encouraged me and insisted that I continue my education.;20
